6067,1506,6091,5641,5538,3568
3542,5067,5697,5234,27,1322
8193,6610,5166,4377,5460,5247
7202,4998,3322,8767,5114,6548
815,8385,4994,8774,2145,5084
5260,7192,5561,5641,7784,494
5247,8767,7202,5460,6091,27
1322,5538,5067,5166,6548,4377
7784,3322,3542,7192,8385,5697
3568,2145,8193,5084,815,5234
6610,8774,6067,5561,494,5114
1506,4998,8385,4994,5260,5166
5641,5247,6091,8767,8193,3542
5114,7202,7784,6610,5697,5460
6548,6067,5234,815,7192,3322
5084,1506,5260,1322,8774,4377
4998,4994,3568,2145,5561,5067
494,27,8193,5538,6091,6548
1322,7192,5247,1506,5697,8774
815,8767,6610,7202,5260,3568
5538,5114,4377,4998,2145,5234
5460,5561,3542,6067,5067,4994
3322,5166,494,5641,5084,27
7784,5247,5234,8385,7202,8774
1506,6548,7192,5460,8193,5067
27,815,5114,5561,1322,8767
5166,3542,2145,3322,5538,6610
4377,5084,4994,6091,3568,494
6067,5641,5260,5697,4998,7784
5067,8385,8767,27,5561,1506
5084,5538,3542,494,815,5460
8774,7784,5260,5166,7202,6067
4377,3568,6610,7192,4994,5114
5697,1322,5641,2145,5247,6548
6091,4998,8193,8385,5234,3322
5538,27,5166,6610,3542,7192
5247,5697,5561,5067,3568,5084
4994,5234,6091,4998,815,6067
3322,4377,8767,7784,1506,2145
5114,5460,8774,6548,8385,5641
494,7202,5538,5260,8193,1322
4377,7784,815,3542,4994,27
5460,5234,5641,5114,6610,1506
7202,6548,1322,8385,8193,5561
2145,6067,494,5697,5166,8767
5247,5260,5067,6091,3322,8774
4998,5084,1322,3568,7192,7784
8385,5166,5460,27,4377,6067
4994,8767,2145,6548,3322,8193
815,3568,5697,5260,6610,6091
5114,3542,4998,5084,494,5247
5561,5234,5538,7202,5641,7192
5067,1506,5166,8774,6548,815
494,5697,4377,5247,5114,3322
7192,2145,27,5260,5460,4998
5234,8774,3568,7784,8767,5538
5561,6091,7202,1506,1322,4994
6067,5084,8385,5067,5641,6610
8193,5114,5697,3542,5260,815
3568,3322,1506,5166,7784,5561
6610,27,8385,7192,5067,4998
1322,5460,2145,8767,6091,5084
4994,494,6548,5538,6067,5247
8774,3542,5641,8193,4377,7202
6091,5067,7784,5234,5166,5114
3322,6067,5460,3568,1322,8385
8193,5641,815,27,5247,4998
8767,8774,7192,5697,4994,5538
2145,6610,7202,3542,494,1506
6548,5561,5084,5234,4377,5260
